espn_id,name,full_name,jersey,position,position_name,height,weight,age,team_name,team_abbr,headshot_url,experience_years,salary,years_remaining,draft_year,draft_round,draft_selection
5101761,Mikel Brown Jr.,Mikel Brown Jr.,0,G,Guard,"6' 5""",180 lbs,20.0,Brooklyn Nets,BKN,https://a.espncdn.com/i/headshots/nba/players/full/5101761.png,0.0,,,2026.0,1.0,6.0
4712896,Noah Clowney,Noah Clowney,21,F,Forward,"6' 10""",210 lbs,22.0,Brooklyn Nets,BKN,https://a.espncdn.com/i/headshots/nba/players/full/4712896.png,3.0,5414034.0,1.0,2023.0,1.0,21.0
5175643,Egor Demin,Egor Demin,8,G,Guard,"6' 8""",200 lbs,20.0,Brooklyn Nets,BKN,https://a.espncdn.com/i/headshots/nba/players/full/5175643.png,1.0,7233720.0,3.0,2025.0,1.0,8.0
4702177,Keon Ellis,Keon Ellis,,G,Guard,"6' 4""",175 lbs,26.0,Brooklyn Nets,BKN,https://a.espncdn.com/i/headshots/nba/players/full/4702177.png,4.0,,,,,
4432887,Tyson Etienne,Tyson Etienne,10,G,Guard,"6' 0""",200 lbs,26.0,Brooklyn Nets,BKN,https://a.espncdn.com/i/headshots/nba/players/full/4432887.png,2.0,,,,,
4870564,Joshua Jefferson,Joshua Jefferson,,F,Forward,"6' 8""",246 lbs,22.0,Brooklyn Nets,BKN,https://a.espncdn.com/i/headshots/nba/players/full/4870564.png,0.0,,,2026.0,1.0,28.0
5174655,Chaney Johnson,Chaney Johnson,31,F,Forward,"6' 8""",225 lbs,24.0,Brooklyn Nets,BKN,https://a.espncdn.com/i/headshots/nba/players/full/5174655.png,1.0,,,,,
4432821,E.J. Liddell,E.J. Liddell,9,F,Forward,"6' 6""",240 lbs,25.0,Brooklyn Nets,BKN,https://a.espncdn.com/i/headshots/nba/players/full/4432821.png,3.0,,,2022.0,2.0,41.0
3907823,Terance Mann,Terance Mann,14,G,Guard,"6' 6""",215 lbs,29.0,Brooklyn Nets,BKN,https://a.espncdn.com/i/headshots/nba/players/full/3907823.png,7.0,15500000.0,2.0,2019.0,2.0,48.0
4687718,Josh Minott,Josh Minott,00,F,Forward,"6' 8""",205 lbs,23.0,Brooklyn Nets,BKN,https://a.espncdn.com/i/headshots/nba/players/full/4687718.png,4.0,2584539.0,1.0,2022.0,2.0,45.0
4278104,Michael Porter Jr.,Michael Porter Jr.,17,F,Forward,"6' 10""",218 lbs,28.0,Brooklyn Nets,BKN,https://a.espncdn.com/i/headshots/nba/players/full/4278104.png,7.0,40906150.0,1.0,2018.0,1.0,14.0
5037873,Drake Powell,Drake Powell,4,G,Guard,"6' 5""",195 lbs,21.0,Brooklyn Nets,BKN,https://a.espncdn.com/i/headshots/nba/players/full/5037873.png,1.0,3540600.0,3.0,2025.0,1.0,22.0
3064514,Julius Randle,Julius Randle,30,F,Forward,"6' 9""",250 lbs,31.0,Brooklyn Nets,BKN,https://a.espncdn.com/i/headshots/nba/players/full/3064514.png,12.0,33333333.0,2.0,2014.0,1.0,7.0
5242502,Ben Saraf,Ben Saraf,77,G,Guard,"6' 6""",200 lbs,20.0,Brooklyn Nets,BKN,https://a.espncdn.com/i/headshots/nba/players/full/5242502.png,1.0,3028560.0,3.0,2025.0,1.0,26.0
4432194,Day'Ron Sharpe,Day'Ron Sharpe,20,C,Center,"6' 10""",265 lbs,24.0,Brooklyn Nets,BKN,https://a.espncdn.com/i/headshots/nba/players/full/4432194.png,5.0,6250000.0,1.0,2021.0,1.0,29.0
5279130,Nolan Traore,Nolan Traore,13,G,Guard,"6' 3""",185 lbs,20.0,Brooklyn Nets,BKN,https://a.espncdn.com/i/headshots/nba/players/full/5279130.png,1.0,4002000.0,3.0,2025.0,1.0,19.0
3150844,Moritz Wagner,Moritz Wagner,,F,Forward,"6' 11""",245 lbs,29.0,Brooklyn Nets,BKN,https://a.espncdn.com/i/headshots/nba/players/full/3150844.png,8.0,,,2018.0,1.0,25.0
5107173,Danny Wolf,Danny Wolf,2,F,Forward,"6' 11""",250 lbs,22.0,Brooklyn Nets,BKN,https://a.espncdn.com/i/headshots/nba/players/full/5107173.png,1.0,2941440.0,3.0,2025.0,1.0,27.0
3135045,Grayson Allen,Grayson Allen,,G,Guard,"6' 3""",198 lbs,30.0,Charlotte Hornets,CHA,https://a.espncdn.com/i/headshots/nba/players/full/3135045.png,8.0,18125000.0,2.0,2018.0,1.0,21.0
5060701,Christian Anderson,Christian Anderson,,G,Guard,"6' 1""",180 lbs,20.0,Charlotte Hornets,CHA,https://a.espncdn.com/i/headshots/nba/players/full/5060701.png,0.0,,,2026.0,1.0,18.0
2578239,Pat Connaughton,Pat Connaughton,21,G,Guard,"6' 5""",209 lbs,33.0,Charlotte Hornets,CHA,https://a.espncdn.com/i/headshots/nba/players/full/2578239.png,11.0,3815861.0,1.0,2015.0,2.0,41.0
4433249,Moussa Diabate,Moussa Diabate,14,F,Forward,"6' 10""",210 lbs,24.0,Charlotte Hornets,CHA,https://a.espncdn.com/i/headshots/nba/players/full/4433249.png,4.0,2461462.0,1.0,2022.0,2.0,43.0
2578185,Dorian Finney-Smith,Dorian Finney-Smith,,F,Forward,"6' 7""",220 lbs,33.0,Charlotte Hornets,CHA,https://a.espncdn.com/i/headshots/nba/players/full/2578185.png,10.0,13335000.0,3.0,,,
4701225,PJ Hall,PJ Hall,16,C,Center,"6' 8""",245 lbs,24.0,Charlotte Hornets,CHA,https://a.espncdn.com/i/headshots/nba/players/full/4701225.png,2.0,0.0,1.0,,,
