PERSON_ID,DISPLAY_LAST_COMMA_FIRST,DISPLAY_FIRST_LAST,ROSTERSTATUS,FROM_YEAR,TO_YEAR,PLAYERCODE,PLAYER_SLUG,TEAM_ID,TEAM_CITY,TEAM_NAME,TEAM_ABBREVIATION,TEAM_SLUG,TEAM_CODE,GAMES_PLAYED_FLAG,OTHERLEAGUE_EXPERIENCE_CH,SEASON
204456,"McConnell, T.J.",T.J. McConnell,1,2015,2026,t.j._mcconnell,tj_mcconnell,1610612754,Indiana,Pacers,IND,pacers,pacers,Y,00,2025-26
1641755,"McCullar Jr., Kevin",Kevin McCullar Jr.,1,2024,2026,kevin_mccullar_jr,kevin_mccullar_jr,1610612752,New York,Knicks,NYK,knicks,knicks,Y,11,2025-26
1630183,"McDaniels, Jaden",Jaden McDaniels,1,2020,2026,jaden_mcdaniels,jaden_mcdaniels,1610612750,Minnesota,Timberwolves,MIN,timberwolves,timberwolves,Y,00,2025-26
203926,"McDermott, Doug",Doug McDermott,1,2014,2025,doug_mcdermott,doug_mcdermott,1610612758,Sacramento,Kings,SAC,kings,kings,Y,00,2025-26
1631121,"McGowens, Bryce",Bryce McGowens,1,2022,2026,bryce_mcgowens,bryce_mcgowens,1610612740,New Orleans,Pelicans,NOP,pelicans,pelicans,Y,01,2025-26
1629162,"McLaughlin, Jordan",Jordan McLaughlin,1,2019,2026,jordan_mclaughlin,jordan_mclaughlin,1610612759,San Antonio,Spurs,SAS,spurs,spurs,Y,01,2025-26
1642862,"McNeeley, Liam",Liam McNeeley,1,2025,2026,liam_mcneeley,liam_mcneeley,1610612766,Charlotte,Hornets,CHA,hornets,hornets,Y,11,2025-26
1629001,"Melton, De'Anthony",De'Anthony Melton,1,2018,2026,deanthony_melton,deanthony_melton,1610612744,Golden State,Warriors,GSW,warriors,warriors,Y,01,2025-26
1630241,"Merrill, Sam",Sam Merrill,1,2020,2026,sam_merrill,sam_merrill,1610612739,Cleveland,Cavaliers,CLE,cavaliers,cavaliers,Y,01,2025-26
203114,"Middleton, Khris",Khris Middleton,1,2012,2026,khris_middleton,khris_middleton,1610612742,Dallas,Mavericks,DAL,mavericks,mavericks,Y,01,2025-26
1641706,"Miller, Brandon",Brandon Miller,1,2023,2026,brandon_miller,brandon_miller,1610612766,Charlotte,Hornets,CHA,hornets,hornets,Y,00,2025-26
1641801,"Miller, Emanuel",Emanuel Miller,1,2024,2025,emanuel_miller,emanuel_miller,1610612759,San Antonio,Spurs,SAS,spurs,spurs,Y,11,2025-26
1641757,"Miller, Jordan",Jordan Miller,1,2023,2026,jordan_miller,jordan_miller,1610612746,LA,Clippers,LAC,clippers,clippers,Y,01,2025-26
1631159,"Miller, Leonard",Leonard Miller,1,2023,2026,leonard_miller,leonard_miller,1610612741,Chicago,Bulls,CHI,bulls,bulls,Y,11,2025-26
1642434,"Minix, Riley",Riley Minix,1,2024,2026,riley_minix,riley_minix,1610612739,Cleveland,Cavaliers,CLE,cavaliers,cavaliers,Y,11,2025-26
1631169,"Minott, Josh",Josh Minott,1,2022,2026,josh_minott,josh_minott,1610612751,Brooklyn,Nets,BKN,nets,nets,Y,11,2025-26
1642274,"Missi, Yves",Yves Missi,1,2024,2026,tmp_yves_missi,yves_missi,1610612740,New Orleans,Pelicans,NOP,pelicans,pelicans,Y,00,2025-26
1642349,"Mitchell, Ajay",Ajay Mitchell,1,2024,2026,ajay_mitchell,ajay_mitchell,1610612760,Oklahoma City,Thunder,OKC,thunder,thunder,Y,00,2025-26
1630558,"Mitchell, Davion",Davion Mitchell,1,2021,2026,davion_mitchell,davion_mitchell,1610612748,Miami,Heat,MIA,heat,heat,Y,00,2025-26
1628378,"Mitchell, Donovan",Donovan Mitchell,1,2017,2026,donovan_mitchell,donovan_mitchell,1610612739,Cleveland,Cavaliers,CLE,cavaliers,cavaliers,Y,00,2025-26
1630596,"Mobley, Evan",Evan Mobley,1,2021,2026,evan_mobley,evan_mobley,1610612739,Cleveland,Cavaliers,CLE,cavaliers,cavaliers,Y,00,2025-26
1642367,"Mogbo, Jonathan",Jonathan Mogbo,1,2024,2026,jonathan_mogbo,jonathan_mogbo,1610612761,Toronto,Raptors,TOR,raptors,raptors,Y,11,2025-26
